,Name,hate
321,12045.png,0
322,92068.png,0
323,73021.png,0
324,56241.png,1
325,28905.png,1
326,13750.png,0
327,06582.png,1
328,75142.png,0
329,56149.png,0
330,41796.png,0
331,31570.png,1
332,01726.png,1
333,23785.png,0
334,56473.png,0
335,62970.png,0
336,41035.png,0
337,10285.png,1
338,95604.png,1
339,68401.png,0
340,50984.png,0
341,17908.png,0
342,42631.png,1
343,61349.png,1
344,65093.png,0
345,86357.png,0
346,74965.png,0
347,75918.png,0
348,14975.png,0
349,92317.png,0
350,19536.png,1
351,90236.png,0
352,30642.png,0
353,59206.png,0
354,19075.png,0
355,79042.png,0
356,98720.png,0
357,02634.png,1
358,84107.png,0
359,07198.png,1
360,45702.png,1
361,46085.png,0
362,08451.png,0
363,73482.png,0
364,28017.png,1
365,02364.png,0
366,42538.png,0
367,47183.png,0
368,72904.png,1
369,90243.png,1
370,41382.png,0
371,78156.png,0
372,74250.png,0
373,97132.png,0
374,35840.png,1
375,78134.png,0
376,93620.png,1
377,57369.png,0
378,10362.png,1
379,36058.png,0
380,09467.png,1
381,60183.png,1
382,47263.png,1
383,18726.png,0
384,50379.png,0
385,06352.png,0
386,58093.png,0
387,19508.png,1
388,02783.png,1
389,41728.png,0
390,51306.png,0
391,50241.png,1
392,49650.png,1
393,17045.png,0
394,89536.png,0
395,26187.png,1
396,74906.png,1
397,28190.png,1
398,89642.png,1
399,59170.png,0
400,30927.png,0
401,32049.png,0
402,95173.png,0
403,50198.png,0
404,37658.png,1
405,95613.png,1
406,43805.png,1
407,18306.png,1
408,46518.png,1
409,18547.png,1
410,02518.png,0
411,04621.png,0
412,98543.png,1
413,85621.png,0
414,18367.png,0
415,84036.png,0
416,86417.png,1
417,92567.png,0
418,63921.png,0
419,72864.png,1
420,30586.png,0
421,83264.png,1
422,93041.png,0
423,97305.png,1
424,03568.png,0
425,07653.png,1
426,26397.png,0
427,03217.png,0
428,40618.png,0
429,67208.png,0
430,03798.png,0
431,12468.png,0
432,16842.png,0
433,68043.png,1
434,51807.png,0
435,78914.png,0
436,47950.png,0
437,95487.png,0
438,49260.png,0
439,20861.png,1
440,38914.png,0
441,47016.png,1
442,14389.png,1
443,35487.png,0
444,84150.png,0
445,13809.png,1
446,50261.png,1
447,75286.png,1
448,64312.png,1
449,67103.png,1
450,18059.png,1
451,90643.png,0
452,16749.png,0
453,37814.png,0
454,92046.png,0
455,90843.png,0
456,85237.png,0
457,98235.png,0
458,90267.png,0
459,48296.png,1
460,29174.png,0
461,65801.png,0
462,91763.png,1
463,94387.png,0
464,80947.png,1
465,78251.png,1
466,94738.png,0
467,57823.png,0
468,32415.png,0
469,05316.png,0
470,61085.png,0
471,27498.png,1
472,37160.png,0
473,18742.png,0
474,19243.png,0
475,54108.png,1
476,93528.png,1
477,78659.png,0
478,67082.png,0
479,64125.png,0
480,41296.png,0
481,53491.png,0
482,37692.png,0
483,36201.png,0
484,29054.png,1
485,06273.png,1
486,25061.png,1
487,20437.png,0
488,05439.png,0
489,34528.png,1
490,93541.png,0
491,16704.png,0
492,48792.png,0
493,07528.png,1
494,01268.png,0
495,83675.png,0
496,37198.png,0
497,48670.png,0
498,09863.png,0
499,97320.png,0
500,76432.png,0
501,14270.png,0
502,56947.png,0
503,35174.png,0
504,39264.png,0
505,18564.png,0
506,42361.png,0
507,29067.png,0
508,86471.png,0
509,51940.png,0
510,41328.png,0
511,30186.png,0
512,31602.png,0
513,10896.png,0
514,17350.png,0
515,29548.png,0
516,68452.png,0
517,08416.png,0
518,75482.png,0
519,92435.png,0
520,61048.png,0
521,52319.png,0
522,54703.png,0
523,38165.png,0
524,20653.png,0
525,50389.png,0
526,93425.png,0
527,21763.png,0
528,10438.png,0
529,42501.png,0
530,48529.png,0
531,58213.png,0
532,94016.png,0
533,45862.png,0
534,30417.png,0
535,14672.png,0
536,46109.png,0
537,51869.png,0
538,08765.png,0
539,31792.png,0
540,82143.png,0
541,26843.png,0
542,57896.png,0
543,13207.png,0
544,27543.png,0
545,89047.png,0
546,69015.png,0
547,71269.png,0
548,01768.png,0
549,75186.png,0
550,75392.png,0
551,10832.png,0
552,08319.png,0
553,19607.png,0
554,62093.png,0
555,69032.png,0
556,03594.png,0
557,23015.png,0
558,10425.png,0
559,94231.png,0
560,23541.png,0
561,12684.png,0
562,14986.png,0
563,62378.png,0
564,82537.png,0
565,17320.png,0
566,79012.png,0
567,14235.png,0
568,71968.png,0
569,86450.png,0
570,68930.png,0
571,45968.png,0
572,31072.png,0
573,48509.png,0
574,38195.png,0
575,16843.png,0
576,76398.png,0
577,85790.png,0
578,74253.png,0
579,03928.png,0
580,90465.png,0
581,56273.png,0
582,85216.png,0
583,23470.png,0
584,84536.png,0
585,08643.png,0
586,74912.png,0
587,51862.png,0
588,58726.png,0
589,08912.png,0
590,47568.png,0
591,30478.png,0
592,16809.png,0
593,37912.png,0
594,48352.png,0
595,78945.png,0
596,91253.png,0
597,39456.png,0
598,16405.png,0
599,95386.png,0
600,18452.png,0
601,39261.png,0
602,40395.png,0
603,27849.png,0
604,35490.png,0
605,02593.png,0
606,09386.png,0
607,62581.png,0
608,56803.png,0
609,91638.png,0
610,82197.png,0
611,17246.png,0
612,54231.png,0
613,85293.png,0
614,54730.png,0
615,48973.png,0
616,08459.png,0
617,76132.png,0
618,98516.png,0
619,57643.png,0
620,64281.png,0
621,86927.png,0
622,40675.png,0
623,49521.png,0
624,62094.png,0
625,26530.png,0
626,13280.png,0
627,70413.png,0
628,69850.png,0
629,95806.png,0
630,31702.png,0
631,05618.png,0
632,46291.png,0
633,27054.png,0
634,91847.png,0
635,82054.png,0
636,13749.png,0
637,85067.png,0
638,20541.png,0
639,60724.png,0
1040,16395.png,1
1041,37405.png,1
1042,94180.png,1
1043,54321.png,1
1044,97015.png,1
1045,73506.png,1
1046,05429.png,1
1047,70691.png,0
1048,69421.png,1
1049,50162.png,1
1050,43728.png,1
1051,75081.png,1
1052,47829.png,1
1053,35279.png,1
1054,54920.png,1
1055,39867.png,1
1056,96082.png,1
1057,38045.png,1
1058,62134.png,1
1059,81970.png,1
1060,01865.png,1
1061,86139.png,1
1062,38765.png,1
1063,15306.png,1
1064,17209.png,1
1065,96185.png,1
1066,93875.png,1
1067,57286.png,1
1068,08261.png,1
1069,60823.png,1
1070,83720.png,1
1071,89432.png,1
1072,89607.png,1
1073,14267.png,1
1074,82749.png,1
1075,70643.png,1
1076,12785.png,1
1077,86394.png,1
1078,63491.png,1
1079,98026.png,1
1080,89263.png,0
1081,42975.png,1
1082,74016.png,1
1083,26347.png,1
1084,89105.png,1
1085,57932.png,1
1086,52971.png,0
1087,04615.png,1
1088,01936.png,1
1089,17546.png,1
1090,56908.png,1
1091,24973.png,0
1092,04958.png,1
1093,60345.png,1
1094,02356.png,0
1095,91806.png,1
1096,05462.png,1
1097,01627.png,1
1098,18239.png,0
1099,49372.png,1
1100,59167.png,0
1101,59287.png,1
1102,64279.png,1
1103,38701.png,1
1104,12643.png,1
1105,46532.png,1
1106,07516.png,1
1107,93251.png,1
1108,31760.png,0
1109,19230.png,0
1110,89251.png,1
1111,02789.png,1
1112,03976.png,1
1113,07291.png,1
1114,58374.png,0
1115,78092.png,1
1116,28396.png,1
1117,87039.png,1
1118,94216.png,1
1119,81523.png,1
1120,15473.png,1
1121,48059.png,1
1122,38054.png,1
1123,35870.png,1
1124,07392.png,1
1125,72019.png,1
1126,95723.png,1
1127,01284.png,1
1128,27980.png,1
1129,65917.png,1
1130,10548.png,1
1131,26091.png,1
1132,98637.png,1
1133,98653.png,1
1134,09638.png,1
1135,16592.png,1
1136,47693.png,1
1137,51263.png,1
1138,67149.png,1
1139,63547.png,1
1140,49267.png,0
1141,24351.png,1
1142,23419.png,1
1143,30762.png,1
1144,52096.png,0
1145,64735.png,1
1146,10652.png,0
1147,92456.png,1
1148,42635.png,0
1149,47931.png,0
1150,70143.png,1
1151,51863.png,1
1152,02584.png,1
1153,48132.png,1
1154,81370.png,1
1155,74029.png,0
1156,50643.png,0
1157,59423.png,1
1158,63502.png,0
1159,89360.png,1
1160,05219.png,1
1161,61342.png,0
1162,16234.png,0
1163,34215.png,0
1164,10963.png,1
1165,94380.png,1
1166,30954.png,0
1167,05162.png,1
1168,36184.png,0
1169,17285.png,1
1170,20815.png,0
1171,35198.png,1
1172,32451.png,1
1173,58079.png,0
1174,37092.png,0
1175,76542.png,0
1176,17096.png,1
1177,69753.png,0
1178,07652.png,0
1179,39182.png,0
1180,10476.png,1
1181,17596.png,0
1182,25893.png,0
1183,57836.png,0
1184,32907.png,0
1185,18453.png,1
1186,26537.png,0
1187,07689.png,0
1188,69423.png,0
1189,45269.png,1
1190,29710.png,0
1191,10865.png,0
1192,56291.png,0
1193,60175.png,1
1194,90538.png,0
1195,06931.png,0
1196,69403.png,0
1197,21530.png,1
1198,03146.png,0
1199,04879.png,0
1200,14583.png,1
1201,31894.png,0
1202,90734.png,0
1203,67841.png,0
1204,24689.png,1
1205,39564.png,1
1206,15763.png,0
1207,76091.png,0
1208,23047.png,0
1209,35186.png,0
1210,21386.png,0
1211,80713.png,1
1212,50483.png,0
1213,41250.png,0
1214,45326.png,0
1215,09241.png,0
1216,08524.png,1
1217,31468.png,0
1218,57431.png,0
1219,06135.png,0
1220,70456.png,0
1221,53214.png,0
1222,48523.png,0
1223,45093.png,0
1224,98374.png,1
1225,89026.png,0
1226,94152.png,0
1227,63719.png,0
1228,80392.png,0
1229,98035.png,0
1230,26573.png,0
1231,15379.png,0
1232,10564.png,1
1233,80463.png,0
1234,35687.png,0
1235,28579.png,0
1236,71453.png,0
1237,13285.png,0
1238,01634.png,0
1239,85630.png,1
1240,16302.png,0
1241,73846.png,0
1242,27496.png,1
1243,75806.png,0
1244,30154.png,1
1245,68594.png,1
1246,64803.png,1
1247,65071.png,0
1248,07193.png,1
1249,60812.png,0
1250,23619.png,0
1251,45610.png,0
1252,91260.png,0
1253,87526.png,0
1254,54621.png,0
1255,45792.png,0
1256,26891.png,1
1257,95371.png,0
1258,03968.png,0
1259,40578.png,0
1260,97853.png,0
1261,26549.png,0
1262,13907.png,0
1263,51482.png,1
1264,82591.png,1
1265,36458.png,0
1266,75810.png,1
1267,72364.png,0
1268,58069.png,0
1269,80724.png,1
1270,15438.png,0
1271,86025.png,0
1272,96502.png,0
1273,93462.png,1
1274,90814.png,1
1275,17845.png,0
1276,17809.png,1
1277,29467.png,0
1278,35689.png,0
1279,49531.png,0
1280,35249.png,1
1281,85746.png,0
1282,13874.png,0
1283,07396.png,1
1284,57312.png,0
1285,26914.png,1
1286,47863.png,0
1287,65734.png,1
1288,84169.png,0
1289,62790.png,0
1290,76103.png,0
1291,05968.png,1
1292,87391.png,0
1293,72851.png,0
1294,42189.png,0
1295,04265.png,1
1296,31267.png,0
1297,93145.png,1
1298,56328.png,1
1299,09357.png,1
1300,35107.png,0
1301,04716.png,0
1302,03164.png,1
1303,86425.png,0
1304,79316.png,1
1305,98170.png,1
1306,42615.png,0
1307,25749.png,0
1308,18406.png,0
1309,36128.png,0
1310,25908.png,0
1311,53467.png,0
1312,29406.png,1
1313,29547.png,1
1314,05218.png,0
1315,10938.png,0
1316,17508.png,1
1317,23751.png,1
1318,42739.png,1
1319,45827.png,0
1320,79861.png,0
1321,46197.png,0
1322,07694.png,1
1323,43697.png,1
1324,13407.png,1
1325,74236.png,0
1326,03987.png,0
1327,72093.png,0
1328,81527.png,0
1329,52139.png,0
1330,80914.png,0
1331,09687.png,0
1332,87913.png,1
1333,87013.png,1
1334,06593.png,0
1335,21863.png,0
1336,06329.png,0
1337,39527.png,0
1338,85471.png,0
1339,02751.png,0
1340,48956.png,1
1341,39247.png,0
1342,32605.png,1
1343,75136.png,0
1344,83091.png,0
1345,52847.png,0
1346,25463.png,0
1347,04239.png,0
1348,17852.png,1
1349,85420.png,0
1350,34067.png,0
1351,41692.png,1
1352,93481.png,0
1353,73842.png,1
1354,95302.png,0
1355,70148.png,1
1356,47265.png,1
1357,20854.png,0
1358,74531.png,0
1359,20413.png,1
1360,48123.png,1
1361,92158.png,0
1362,09675.png,1
1363,08541.png,1
1364,95306.png,1
1365,47680.png,1
1366,32564.png,0
1367,19384.png,0
1368,17904.png,1
1369,09513.png,0
1370,30815.png,0
1371,05879.png,0
1372,75039.png,1
1373,52140.png,1
1374,64038.png,0
1375,87352.png,0
1376,06243.png,1
1377,90143.png,0
1378,37289.png,1
1379,54093.png,0
1380,62719.png,0
1381,84670.png,1
1382,98721.png,0
1383,42705.png,0
1384,26781.png,0
1385,05792.png,0
1386,35146.png,1
1387,04583.png,1
1388,30864.png,0
1389,98340.png,0
1390,65148.png,1
1391,38754.png,1
1392,79134.png,0
1393,59028.png,0
1394,76854.png,0
1395,82950.png,0
1396,80473.png,1
1397,91637.png,0
1398,07612.png,1
1399,08653.png,0
1400,79452.png,0
1401,42589.png,1
1402,92837.png,1
1403,63795.png,0
1404,14602.png,1
1405,39241.png,0
1406,82675.png,0
1407,84321.png,1
1408,42986.png,0
1409,03267.png,0
1410,24815.png,0
1411,47903.png,1
1412,78936.png,1
1413,40572.png,0
1414,41896.png,0
1415,27410.png,0
1416,08294.png,1
1417,81075.png,1
1418,73049.png,1
1419,14765.png,0
1420,92683.png,1
1421,47692.png,0
1422,40731.png,0
1423,28716.png,1
1424,57869.png,0
1425,83046.png,0
1426,67951.png,0
1427,75923.png,1
1428,04127.png,1
1429,61058.png,0
1430,26738.png,1
1431,60289.png,1
1432,87160.png,0
1433,26910.png,1
1434,16598.png,1
1435,57890.png,1
1436,53426.png,1
1437,40856.png,1
1438,43269.png,1
1439,70381.png,1
1440,91063.png,0
1441,04135.png,0
1442,16870.png,0
1443,54830.png,0
1444,57389.png,1
1445,18674.png,0
1446,34291.png,1
1447,05461.png,1
1448,02846.png,0
1449,92836.png,0
1450,32410.png,0
1451,81690.png,1
1452,46815.png,0
1453,54820.png,1
1454,85042.png,1
1455,75821.png,1
1456,68394.png,0
1457,64907.png,0
1458,30849.png,1
1459,98473.png,0
1460,59671.png,1
1461,47831.png,0
1462,79031.png,1
1463,74813.png,1
1464,75280.png,1
1465,84057.png,1
1466,57908.png,0
1467,34602.png,1
1468,81035.png,1
1469,03765.png,1
1470,86179.png,0
1471,59107.png,0
1472,51628.png,0
1473,71063.png,1
1474,36805.png,1
1475,79825.png,0
1476,04563.png,0
1477,01459.png,0
1478,38401.png,0
1479,69324.png,0
1480,90845.png,1
1481,72419.png,1
1482,64297.png,1
1483,43506.png,1
1484,93874.png,0
1485,84316.png,1
1486,05734.png,0
1487,82760.png,0
1488,64730.png,1
1489,97125.png,1
1490,39206.png,0
1491,67593.png,1
1492,01325.png,0
1493,89136.png,0
1494,03924.png,1
1495,52037.png,0
1496,80321.png,1
1497,50962.png,0
1498,01359.png,0
1499,27506.png,0
1500,70543.png,1
1501,48315.png,1
1502,10649.png,1
1503,62509.png,1
1504,64571.png,0
1505,36521.png,1
1506,40268.png,0
1507,40723.png,0
1508,87924.png,1
1509,12589.png,0
1510,06524.png,0
1511,52719.png,1
1512,45139.png,1
1513,53814.png,0
1514,32960.png,0
1515,85310.png,1
1516,90657.png,1
1517,78321.png,1
1518,28495.png,1
1519,05791.png,1
1520,16452.png,0
1521,07521.png,1
1522,97514.png,1
1523,74508.png,1
1524,74259.png,1
1525,39725.png,1
1526,03624.png,0
1527,40218.png,0
1528,51928.png,1
1529,27548.png,1
1530,57649.png,0
1531,89512.png,0
1532,87692.png,0
1533,84325.png,0
1534,42083.png,1
1535,26531.png,1
1536,87390.png,1
1537,10475.png,1
1538,91736.png,1
1539,48379.png,0
1540,19740.png,1
1541,21659.png,0
1542,19846.png,0
1543,16758.png,1
1544,45176.png,0
1545,87501.png,1
1546,82547.png,1
1547,40728.png,1
1548,18465.png,0
1549,89140.png,1
1550,37845.png,1
1551,31875.png,1
1552,51924.png,0
1553,87532.png,1
1554,95380.png,1
1555,79243.png,1
1556,87905.png,1
1557,04582.png,0
1558,31920.png,0
1559,45871.png,0
1560,13720.png,1
1561,13297.png,0
1562,78956.png,0
1563,89754.png,0
1564,61497.png,1
1565,59460.png,0
1566,17938.png,1
1567,40316.png,0
1568,92847.png,1
1569,63915.png,0
1570,38159.png,0
1571,02514.png,0
1572,50783.png,1
1573,78152.png,1
1574,56294.png,1
1575,59021.png,1
1576,76145.png,0
1577,79105.png,0
1578,26358.png,0
1579,05389.png,0
1580,69304.png,1
1581,87430.png,0
1582,13069.png,0
1583,05379.png,0
1584,71253.png,0
1585,27580.png,0
1586,41602.png,1
1587,80246.png,1
1588,92658.png,1
1589,10482.png,0
1590,60794.png,1
1591,36810.png,0
1592,16473.png,1
1593,94086.png,0
1594,30576.png,1
1595,37145.png,0
1596,45976.png,0
1597,20145.png,1
1598,27519.png,0
1599,93174.png,0
1600,69823.png,1
1601,68190.png,0
1602,86021.png,0
1603,61752.png,1
1604,63490.png,1
1605,91036.png,0
1606,54823.png,1
1607,72830.png,0
1608,10287.png,1
1609,13074.png,0
1610,80653.png,0
1611,27408.png,1
1612,13726.png,0
1613,61792.png,0
1614,32560.png,1
1615,16320.png,0
1616,84901.png,0
1617,97245.png,0
1618,34170.png,1
1619,58730.png,0
1620,80759.png,1
1621,93857.png,0
1622,72430.png,1
1623,71028.png,0
1624,24836.png,0
1625,83924.png,1
1626,32067.png,0
1627,71649.png,0
1628,23014.png,0
1629,92136.png,0
1630,76180.png,0
1631,19238.png,1
1632,36418.png,1
1633,89571.png,1
1634,20918.png,1
1635,71832.png,0
1636,42507.png,1
1637,21849.png,1
1638,08674.png,0
1639,62418.png,1
1640,74281.png,0
1641,48916.png,0
1642,43571.png,0
1643,97486.png,0
1644,68172.png,1
1645,17869.png,1
1646,62307.png,0
1647,69123.png,1
1648,84639.png,1
1649,25874.png,0
1650,68720.png,1
1651,47532.png,0
1652,86514.png,0
1653,01324.png,0
1654,85912.png,1
1655,86193.png,0
1656,05174.png,0
1657,27659.png,1
1658,04536.png,0
1659,74261.png,0
1660,58716.png,0
1661,39658.png,1
1662,43819.png,0
1663,34950.png,1
1664,15489.png,1
1665,79824.png,1
1666,86215.png,0
1667,42681.png,0
1668,18462.png,0
1669,36729.png,1
1670,83726.png,0
1671,46790.png,1
1672,85612.png,0
1673,01364.png,1
1674,79465.png,0
1675,61980.png,0
1676,60193.png,1
1677,13674.png,0
1678,28534.png,0
1679,82964.png,0
1680,48735.png,0
1681,81752.png,0
1682,90875.png,1
1683,57128.png,0
1684,28196.png,1
1685,08716.png,1
1686,40127.png,1
1687,49215.png,1
1688,08691.png,0
1689,01937.png,1
1690,95402.png,0
1691,38764.png,1
1692,27105.png,0
1693,21647.png,0
1694,40829.png,0
1695,84517.png,0
1696,67034.png,0
1697,18430.png,1
1698,92014.png,0
1699,85317.png,0
1700,65740.png,1
1701,57089.png,0
1702,58046.png,1
1703,30124.png,0
1704,27960.png,0
1705,92785.png,0
1706,46503.png,0
1707,08567.png,1
1708,50126.png,0
1709,26391.png,1
1710,71532.png,1
1711,97568.png,1
1712,31057.png,1
1713,42169.png,0
1714,24019.png,1
1715,48652.png,0
1716,34708.png,1
1717,56409.png,0
1718,45283.png,1
1719,49673.png,0
1720,92015.png,1
1721,96345.png,1
1722,62501.png,0
1723,48570.png,0
1724,41657.png,0
1725,65234.png,1
1726,21065.png,1
1727,39580.png,1
1728,79081.png,0
1729,56327.png,1
1730,34870.png,1
1731,10462.png,1
1732,69425.png,0
1733,50176.png,1
1734,81095.png,0
1735,57169.png,0
1736,15097.png,1
1737,86231.png,0
1738,53419.png,0
1739,16423.png,0
1740,04319.png,1
1741,70214.png,1
1742,28790.png,1
1743,08376.png,0
1744,51697.png,0
1745,62398.png,0
1746,13765.png,0
1747,72839.png,0
1748,76842.png,1
1749,90162.png,1
1750,69308.png,1
1751,67935.png,0
1752,50348.png,1
1753,19672.png,1
1754,18750.png,1
1755,16348.png,1
1756,52839.png,1
1757,71950.png,1
1758,29863.png,1
1759,23897.png,1
1760,62031.png,0
1761,89106.png,0
1762,84652.png,0
1763,14836.png,0
1764,05864.png,0
1765,94107.png,1
1766,28463.png,0
1767,89532.png,0
1768,84395.png,1
1769,36029.png,1
1770,07265.png,1
1771,42830.png,0
1772,16832.png,1
1773,42850.png,0
1774,13870.png,0
1775,23197.png,1
1776,93046.png,0
1777,42936.png,1
1778,05846.png,1
1779,08917.png,0
1780,95341.png,0
1781,68034.png,1
1782,43529.png,0
1783,95072.png,1
1784,20174.png,0
1785,15942.png,1
1786,57921.png,0
1787,16253.png,1
1788,64813.png,1
1789,21730.png,0
1790,17935.png,0
1791,17062.png,0
1792,28954.png,0
1793,78163.png,1
1794,51968.png,1
1795,97021.png,0
1796,20749.png,1
1797,31042.png,1
1798,54617.png,0
1799,30571.png,0
1800,10396.png,0
1801,19587.png,1
1802,37620.png,0
1803,68321.png,0
1804,59384.png,0
1805,64391.png,0
1806,07915.png,1
1807,89421.png,1
1808,24756.png,1
1809,10956.png,0
1810,78613.png,1
1811,14375.png,1
1812,81964.png,1
1813,40735.png,0
1814,39726.png,0
1815,96103.png,0
1816,63097.png,0
1817,29483.png,0
1818,48539.png,0
1819,81309.png,0
1820,41527.png,0
1821,89250.png,1
1822,98632.png,0
1823,29408.png,0
1824,38496.png,1
1825,06195.png,0
1826,79531.png,1
1827,52401.png,1
1828,45263.png,0
1829,98137.png,1
1830,89307.png,0
1831,42958.png,1
1832,39061.png,1
1833,23175.png,0
1834,69370.png,0
1835,57049.png,1
1836,82469.png,0
1837,25193.png,1
1838,26197.png,1
1839,96581.png,1
1840,70164.png,0
1841,53967.png,0
1842,65297.png,0
1843,23694.png,1
1844,42351.png,1
1845,78206.png,1
1846,89461.png,1
1847,96710.png,0
1848,40256.png,1
1849,05438.png,0
1850,27861.png,1
1851,10748.png,1
1852,06752.png,1
1853,65473.png,1
1854,07658.png,0
1855,06387.png,1
1856,82419.png,1
1857,81250.png,0
1858,07645.png,0
1859,31590.png,1
1860,16029.png,0
1861,01836.png,0
