,Name,hate,prediction
140,79615.png,0,0
141,38047.png,0,1
142,94560.png,1,0
143,96250.png,0,0
144,28951.png,0,0
145,27614.png,0,0
146,04857.png,1,0
147,79603.png,1,0
148,26985.png,1,0
149,14873.png,1,0
150,54893.png,0,0
151,48236.png,0,0
152,74908.png,0,0
153,96472.png,1,0
154,89430.png,0,0
155,76921.png,1,0
156,68409.png,1,0
157,16354.png,1,0
158,69548.png,1,0
159,01456.png,1,0
160,17950.png,0,0
161,76295.png,0,1
162,42580.png,1,0
163,96180.png,1,0
164,98701.png,1,1
165,15243.png,0,0
166,41058.png,0,0
167,62375.png,1,0
168,63507.png,0,0
169,31208.png,1,0
170,62319.png,1,0
171,68253.png,1,0
172,34687.png,1,1
173,34209.png,0,0
174,39827.png,1,1
175,46920.png,1,0
176,84273.png,0,0
177,39018.png,0,0
178,54780.png,1,0
179,69150.png,1,0
180,29843.png,0,0
181,19385.png,0,0
182,64510.png,0,0
183,47103.png,0,0
184,61038.png,0,0
185,71620.png,1,0
186,91602.png,0,0
187,30145.png,0,0
188,91756.png,1,0
189,63745.png,1,0
190,47162.png,1,0
191,59806.png,0,0
192,07135.png,1,0
193,35497.png,0,0
194,84362.png,0,0
195,84015.png,1,0
196,87251.png,0,0
197,82590.png,1,0
198,59738.png,1,0
199,35470.png,0,0
200,72061.png,1,0
201,03524.png,1,1
202,86170.png,1,0
203,50841.png,0,0
204,46087.png,0,0
205,42058.png,0,0
206,01967.png,0,0
207,54930.png,1,0
208,38076.png,1,0
209,38910.png,1,0
210,06723.png,1,0
211,02157.png,1,0
212,62948.png,1,0
213,21075.png,0,0
214,73601.png,1,0
215,32579.png,0,0
216,21567.png,1,0
217,01765.png,1,1
218,53172.png,0,1
219,32568.png,1,0
220,01742.png,0,0
221,56098.png,1,0
222,78612.png,0,0
223,34018.png,1,0
224,53609.png,0,0
225,89362.png,1,0
226,80426.png,1,0
227,83045.png,1,0
228,61503.png,0,0
229,41890.png,1,0
230,52091.png,1,0
231,24396.png,1,0
232,72168.png,1,0
233,85761.png,1,0
234,35719.png,0,0
235,90256.png,1,0
236,20984.png,0,0
237,95086.png,1,0
238,49028.png,0,0
239,18356.png,0,0
240,52634.png,0,0
241,80512.png,1,0
242,62703.png,0,0
243,95176.png,0,0
244,27384.png,0,0
245,82437.png,1,0
246,26943.png,1,0
247,09152.png,0,0
248,07429.png,1,0
249,75639.png,1,0
250,46812.png,0,0
251,63827.png,1,0
252,41276.png,1,0
253,56413.png,1,0
254,69512.png,0,0
255,43175.png,1,0
256,54129.png,0,0
257,23645.png,1,0
258,89425.png,1,0
259,16923.png,1,0
260,04769.png,1,0
261,69815.png,0,0
262,91468.png,0,0
263,52104.png,0,0
264,52031.png,0,0
265,08795.png,0,0
266,50317.png,1,0
267,73914.png,1,0
268,03197.png,1,0
269,49621.png,0,0
270,68530.png,1,0
271,98547.png,0,0
272,03519.png,1,0
273,43698.png,0,0
274,84756.png,1,0
275,93051.png,0,0
276,68257.png,0,0
277,12834.png,1,0
278,57208.png,0,0
279,26439.png,0,0
280,53769.png,0,0
281,28406.png,0,0
282,53418.png,0,0
283,10785.png,1,0
284,84302.png,0,0
285,76015.png,0,0
286,34189.png,0,0
287,52079.png,0,0
288,63987.png,0,0
289,73526.png,0,0
290,02145.png,0,0
291,84102.png,0,0
292,32981.png,0,0
293,73605.png,0,0
294,07382.png,1,0
295,64071.png,0,1
296,80912.png,0,0
297,84762.png,1,0
298,39076.png,0,0
299,85679.png,1,0
300,38095.png,0,0
301,52394.png,0,0
302,14865.png,0,1
303,54819.png,0,0
304,46082.png,0,0
305,73962.png,1,0
306,78462.png,0,0
307,49805.png,0,0
308,24098.png,1,0
309,67435.png,1,0
310,60893.png,0,0
311,93148.png,0,0
312,07351.png,0,0
313,16850.png,0,0
314,96312.png,0,0
315,86195.png,0,1
316,84162.png,0,0
317,12067.png,0,0
318,05938.png,1,0
319,43092.png,0,0
320,30148.png,1,0
321,12045.png,0,0
322,92068.png,0,0
323,73021.png,0,0
324,56241.png,1,0
325,28905.png,1,0
326,13750.png,0,0
327,06582.png,1,0
328,75142.png,0,0
329,56149.png,0,0
330,41796.png,0,0
331,31570.png,1,0
332,01726.png,1,0
333,23785.png,0,0
334,56473.png,0,0
335,62970.png,0,0
336,41035.png,0,0
337,10285.png,1,0
338,95604.png,1,0
339,68401.png,0,0
340,50984.png,0,0
341,17908.png,0,0
342,42631.png,1,1
343,61349.png,1,0
344,65093.png,0,0
345,86357.png,0,0
346,74965.png,0,0
347,75918.png,0,0
348,14975.png,0,0
349,92317.png,0,0
350,19536.png,1,0
351,90236.png,0,0
352,30642.png,0,0
353,59206.png,0,0
354,19075.png,0,0
355,79042.png,0,0
356,98720.png,0,0
357,02634.png,1,0
358,84107.png,0,0
359,07198.png,1,0
360,45702.png,1,0
361,46085.png,0,0
362,08451.png,0,0
363,73482.png,0,0
364,28017.png,1,0
365,02364.png,0,0
366,42538.png,0,0
367,47183.png,0,0
368,72904.png,1,0
369,90243.png,1,0
370,41382.png,0,0
371,78156.png,0,0
372,74250.png,0,0
373,97132.png,0,0
374,35840.png,1,0
375,78134.png,0,0
376,93620.png,1,0
377,57369.png,0,0
378,10362.png,1,0
379,36058.png,0,0
380,09467.png,1,0
381,60183.png,1,0
382,47263.png,1,1
383,18726.png,0,0
384,50379.png,0,0
385,06352.png,0,0
386,58093.png,0,0
387,19508.png,1,0
388,02783.png,1,0
389,41728.png,0,0
390,51306.png,0,0
391,50241.png,1,0
392,49650.png,1,0
393,17045.png,0,0
394,89536.png,0,0
395,26187.png,1,0
396,74906.png,1,1
397,28190.png,1,1
398,89642.png,1,0
399,59170.png,0,0
400,30927.png,0,1
401,32049.png,0,1
402,95173.png,0,0
403,50198.png,0,0
404,37658.png,1,0
405,95613.png,1,0
406,43805.png,1,0
407,18306.png,1,0
408,46518.png,1,0
409,18547.png,1,0
410,02518.png,0,0
411,04621.png,0,0
412,98543.png,1,0
413,85621.png,0,0
414,18367.png,0,0
415,84036.png,0,0
416,86417.png,1,0
417,92567.png,0,0
418,63921.png,0,0
419,72864.png,1,1
420,30586.png,0,0
421,83264.png,1,0
422,93041.png,0,0
423,97305.png,1,0
424,03568.png,0,0
425,07653.png,1,1
426,26397.png,0,0
427,03217.png,0,0
428,40618.png,0,0
429,67208.png,0,0
430,03798.png,0,0
431,12468.png,0,0
432,16842.png,0,0
433,68043.png,1,0
434,51807.png,0,0
435,78914.png,0,0
436,47950.png,0,0
437,95487.png,0,0
438,49260.png,0,0
439,20861.png,1,0
440,38914.png,0,0
441,47016.png,1,1
442,14389.png,1,1
443,35487.png,0,0
444,84150.png,0,0
445,13809.png,1,1
446,50261.png,1,0
447,75286.png,1,0
448,64312.png,1,0
449,67103.png,1,1
450,18059.png,1,0
451,90643.png,0,0
452,16749.png,0,0
453,37814.png,0,0
454,92046.png,0,0
455,90843.png,0,0
456,85237.png,0,0
457,98235.png,0,0
458,90267.png,0,0
459,48296.png,1,0
460,29174.png,0,1
461,65801.png,0,0
462,91763.png,1,0
463,94387.png,0,0
464,80947.png,1,0
465,78251.png,1,0
466,94738.png,0,0
467,57823.png,0,0
468,32415.png,0,0
469,05316.png,0,0
470,61085.png,0,0
471,27498.png,1,0
472,37160.png,0,0
473,18742.png,0,0
474,19243.png,0,0
475,54108.png,1,0
476,93528.png,1,0
477,78659.png,0,0
478,67082.png,0,0
479,64125.png,0,0
480,41296.png,0,0
481,53491.png,0,0
482,37692.png,0,0
483,36201.png,0,0
484,29054.png,1,0
485,06273.png,1,0
486,25061.png,1,0
487,20437.png,0,0
488,05439.png,0,0
489,34528.png,1,0
490,93541.png,0,0
491,16704.png,0,0
492,48792.png,0,0
493,07528.png,1,0
494,01268.png,0,0
495,83675.png,0,0
496,37198.png,0,0
497,48670.png,0,0
498,09863.png,0,0
499,97320.png,0,0
500,76432.png,0,0
501,14270.png,0,0
502,56947.png,0,0
503,35174.png,0,0
504,39264.png,0,0
505,18564.png,0,0
506,42361.png,0,0
507,29067.png,0,0
508,86471.png,0,0
509,51940.png,0,1
510,41328.png,0,0
511,30186.png,0,0
512,31602.png,0,0
513,10896.png,0,0
514,17350.png,0,0
515,29548.png,0,0
516,68452.png,0,0
517,08416.png,0,0
518,75482.png,0,0
519,92435.png,0,0
520,61048.png,0,0
521,52319.png,0,0
522,54703.png,0,0
523,38165.png,0,0
524,20653.png,0,0
525,50389.png,0,0
526,93425.png,0,0
527,21763.png,0,0
528,10438.png,0,0
529,42501.png,0,0
530,48529.png,0,0
531,58213.png,0,0
532,94016.png,0,0
533,45862.png,0,0
534,30417.png,0,0
535,14672.png,0,0
536,46109.png,0,0
537,51869.png,0,0
538,08765.png,0,0
539,31792.png,0,0
540,82143.png,0,1
541,26843.png,0,0
542,57896.png,0,1
543,13207.png,0,0
544,27543.png,0,0
545,89047.png,0,0
546,69015.png,0,0
547,71269.png,0,0
548,01768.png,0,0
549,75186.png,0,1
550,75392.png,0,0
551,10832.png,0,0
552,08319.png,0,0
553,19607.png,0,0
554,62093.png,0,0
555,69032.png,0,0
556,03594.png,0,0
557,23015.png,0,0
558,10425.png,0,0
559,94231.png,0,0
560,23541.png,0,0
561,12684.png,0,0
562,14986.png,0,0
563,62378.png,0,0
564,82537.png,0,0
565,17320.png,0,0
566,79012.png,0,0
567,14235.png,0,0
568,71968.png,0,0
569,86450.png,0,1
570,68930.png,0,0
571,45968.png,0,0
572,31072.png,0,0
573,48509.png,0,1
574,38195.png,0,0
575,16843.png,0,1
576,76398.png,0,0
577,85790.png,0,0
578,74253.png,0,0
579,03928.png,0,0
580,90465.png,0,0
581,56273.png,0,0
582,85216.png,0,0
583,23470.png,0,0
584,84536.png,0,1
585,08643.png,0,0
586,74912.png,0,0
587,51862.png,0,0
588,58726.png,0,0
589,08912.png,0,0
590,47568.png,0,0
591,30478.png,0,0
592,16809.png,0,0
593,37912.png,0,0
594,48352.png,0,0
595,78945.png,0,0
596,91253.png,0,0
597,39456.png,0,0
598,16405.png,0,0
599,95386.png,0,0
600,18452.png,0,1
601,39261.png,0,0
602,40395.png,0,0
603,27849.png,0,0
604,35490.png,0,1
605,02593.png,0,0
606,09386.png,0,0
607,62581.png,0,0
608,56803.png,0,1
609,91638.png,0,0
610,82197.png,0,1
611,17246.png,0,0
612,54231.png,0,0
613,85293.png,0,0
614,54730.png,0,0
615,48973.png,0,1
616,08459.png,0,0
617,76132.png,0,0
618,98516.png,0,0
619,57643.png,0,0
620,64281.png,0,0
621,86927.png,0,1
622,40675.png,0,0
623,49521.png,0,0
624,62094.png,0,0
625,26530.png,0,0
626,13280.png,0,1
627,70413.png,0,0
628,69850.png,0,0
629,95806.png,0,0
630,31702.png,0,0
631,05618.png,0,0
632,46291.png,0,0
633,27054.png,0,0
634,91847.png,0,0
635,82054.png,0,0
636,13749.png,0,1
637,85067.png,0,0
638,20541.png,0,0
639,60724.png,0,0
640,16395.png,1,0
641,37405.png,1,0
642,94180.png,1,0
643,54321.png,1,0
644,97015.png,1,0
645,73506.png,1,1
646,05429.png,1,0
647,70691.png,0,0
648,69421.png,1,0
649,50162.png,1,0
650,43728.png,1,0
651,75081.png,1,0
652,47829.png,1,0
653,35279.png,1,0
654,54920.png,1,0
655,39867.png,1,0
656,96082.png,1,0
657,38045.png,1,0
658,62134.png,1,0
659,81970.png,1,0
660,01865.png,1,0
661,86139.png,1,0
662,38765.png,1,0
663,15306.png,1,0
664,17209.png,1,0
665,96185.png,1,0
666,93875.png,1,0
667,57286.png,1,0
668,08261.png,1,0
669,60823.png,1,0
670,83720.png,1,0
671,89432.png,1,0
672,89607.png,1,0
673,14267.png,1,1
674,82749.png,1,0
675,70643.png,1,0
676,12785.png,1,0
677,86394.png,1,1
678,63491.png,1,0
679,98026.png,1,0
680,89263.png,0,0
681,42975.png,1,0
682,74016.png,1,0
683,26347.png,1,0
684,89105.png,1,0
685,57932.png,1,0
686,52971.png,0,0
687,04615.png,1,0
688,01936.png,1,0
689,17546.png,1,0
690,56908.png,1,0
691,24973.png,0,0
692,04958.png,1,0
693,60345.png,1,0
694,02356.png,0,0
695,91806.png,1,0
696,05462.png,1,0
697,01627.png,1,0
698,18239.png,0,0
699,49372.png,1,0
700,59167.png,0,0
701,59287.png,1,0
702,64279.png,1,0
703,38701.png,1,0
704,12643.png,1,0
705,46532.png,1,1
706,07516.png,1,0
707,93251.png,1,0
708,31760.png,0,0
709,19230.png,0,0
710,89251.png,1,0
711,02789.png,1,0
712,03976.png,1,0
713,07291.png,1,0
714,58374.png,0,0
715,78092.png,1,0
716,28396.png,1,0
717,87039.png,1,0
718,94216.png,1,0
719,81523.png,1,0
720,15473.png,1,1
721,48059.png,1,0
722,38054.png,1,0
723,35870.png,1,0
724,07392.png,1,0
725,72019.png,1,0
726,95723.png,1,0
727,01284.png,1,0
728,27980.png,1,0
729,65917.png,1,0
730,10548.png,1,0
731,26091.png,1,0
732,98637.png,1,0
733,98653.png,1,0
734,09638.png,1,0
735,16592.png,1,0
736,47693.png,1,0
737,51263.png,1,0
738,67149.png,1,0
739,63547.png,1,0
740,49267.png,0,0
741,24351.png,1,0
742,23419.png,1,0
743,30762.png,1,0
744,52096.png,0,0
745,64735.png,1,0
746,10652.png,0,0
747,92456.png,1,0
748,42635.png,0,0
749,47931.png,0,1
750,70143.png,1,1
751,51863.png,1,0
752,02584.png,1,1
753,48132.png,1,0
754,81370.png,1,0
755,74029.png,0,0
756,50643.png,0,0
757,59423.png,1,0
758,63502.png,0,0
759,89360.png,1,0
760,05219.png,1,0
761,61342.png,0,0
762,16234.png,0,0
763,34215.png,0,0
764,10963.png,1,0
765,94380.png,1,0
766,30954.png,0,0
767,05162.png,1,0
768,36184.png,0,0
769,17285.png,1,0
770,20815.png,0,0
771,35198.png,1,0
772,32451.png,1,0
773,58079.png,0,0
774,37092.png,0,1
775,76542.png,0,0
776,17096.png,1,0
777,69753.png,0,0
778,07652.png,0,0
779,39182.png,0,0
780,10476.png,1,1
781,17596.png,0,0
782,25893.png,0,0
783,57836.png,0,0
784,32907.png,0,0
785,18453.png,1,0
786,26537.png,0,0
787,07689.png,0,0
788,69423.png,0,0
789,45269.png,1,0
790,29710.png,0,0
791,10865.png,0,0
792,56291.png,0,0
793,60175.png,1,0
794,90538.png,0,0
795,06931.png,0,0
796,69403.png,0,0
797,21530.png,1,0
798,03146.png,0,0
799,04879.png,0,0
800,14583.png,1,0
801,31894.png,0,0
802,90734.png,0,0
803,67841.png,0,0
804,24689.png,1,0
805,39564.png,1,1
806,15763.png,0,0
807,76091.png,0,0
808,23047.png,0,0
809,35186.png,0,1
810,21386.png,0,0
811,80713.png,1,0
812,50483.png,0,0
813,41250.png,0,0
814,45326.png,0,0
815,09241.png,0,0
816,08524.png,1,0
817,31468.png,0,0
818,57431.png,0,0
819,06135.png,0,0
820,70456.png,0,0
821,53214.png,0,0
822,48523.png,0,0
823,45093.png,0,0
824,98374.png,1,1
825,89026.png,0,0
826,94152.png,0,0
827,63719.png,0,0
828,80392.png,0,0
829,98035.png,0,0
830,26573.png,0,0
831,15379.png,0,0
832,10564.png,1,0
833,80463.png,0,0
834,35687.png,0,0
835,28579.png,0,0
836,71453.png,0,0
837,13285.png,0,0
838,01634.png,0,0
839,85630.png,1,0
840,16302.png,0,0
841,73846.png,0,0
842,27496.png,1,0
843,75806.png,0,0
844,30154.png,1,0
845,68594.png,1,1
846,64803.png,1,0
847,65071.png,0,0
848,07193.png,1,0
849,60812.png,0,0
850,23619.png,0,0
851,45610.png,0,0
852,91260.png,0,0
853,87526.png,0,0
854,54621.png,0,0
855,45792.png,0,0
856,26891.png,1,0
857,95371.png,0,0
858,03968.png,0,0
859,40578.png,0,0
860,97853.png,0,0
861,26549.png,0,0
862,13907.png,0,0
863,51482.png,1,0
864,82591.png,1,0
865,36458.png,0,0
866,75810.png,1,0
867,72364.png,0,1
868,58069.png,0,1
869,80724.png,1,0
870,15438.png,0,1
871,86025.png,0,0
872,96502.png,0,0
873,93462.png,1,0
874,90814.png,1,0
875,17845.png,0,0
876,17809.png,1,0
877,29467.png,0,0
878,35689.png,0,0
879,49531.png,0,0
880,35249.png,1,0
881,85746.png,0,0
882,13874.png,0,1
883,07396.png,1,0
884,57312.png,0,0
885,26914.png,1,0
886,47863.png,0,1
887,65734.png,1,0
888,84169.png,0,0
889,62790.png,0,0
890,76103.png,0,0
891,05968.png,1,0
892,87391.png,0,0
893,72851.png,0,0
894,42189.png,0,0
895,04265.png,1,0
896,31267.png,0,1
897,93145.png,1,1
898,56328.png,1,0
899,09357.png,1,0
900,35107.png,0,0
901,04716.png,0,0
902,03164.png,1,0
903,86425.png,0,0
904,79316.png,1,1
905,98170.png,1,0
906,42615.png,0,0
907,25749.png,0,0
908,18406.png,0,0
909,36128.png,0,0
910,25908.png,0,0
911,53467.png,0,0
912,29406.png,1,0
913,29547.png,1,0
914,05218.png,0,0
915,10938.png,0,0
916,17508.png,1,0
917,23751.png,1,0
918,42739.png,1,0
919,45827.png,0,0
920,79861.png,0,0
921,46197.png,0,0
922,07694.png,1,0
923,43697.png,1,0
924,13407.png,1,0
925,74236.png,0,0
926,03987.png,0,0
927,72093.png,0,0
928,81527.png,0,0
929,52139.png,0,0
930,80914.png,0,0
931,09687.png,0,0
932,87913.png,1,0
933,87013.png,1,0
934,06593.png,0,0
935,21863.png,0,0
936,06329.png,0,0
937,39527.png,0,0
938,85471.png,0,0
939,02751.png,0,0
940,48956.png,1,0
941,39247.png,0,0
942,32605.png,1,0
943,75136.png,0,0
944,83091.png,0,0
945,52847.png,0,0
946,25463.png,0,0
947,04239.png,0,0
948,17852.png,1,0
949,85420.png,0,0
950,34067.png,0,0
951,41692.png,1,0
952,93481.png,0,0
953,73842.png,1,0
954,95302.png,0,0
955,70148.png,1,0
956,47265.png,1,0
957,20854.png,0,0
958,74531.png,0,0
959,20413.png,1,0
960,48123.png,1,0
961,92158.png,0,0
962,09675.png,1,0
963,08541.png,1,0
964,95306.png,1,0
965,47680.png,1,0
966,32564.png,0,0
967,19384.png,0,0
968,17904.png,1,0
969,09513.png,0,0
970,30815.png,0,0
971,05879.png,0,0
972,75039.png,1,0
973,52140.png,1,0
974,64038.png,0,0
975,87352.png,0,0
976,06243.png,1,0
977,90143.png,0,0
978,37289.png,1,0
979,54093.png,0,0
980,62719.png,0,0
981,84670.png,1,0
982,98721.png,0,0
983,42705.png,0,0
984,26781.png,0,0
985,05792.png,0,0
986,35146.png,1,0
987,04583.png,1,0
988,30864.png,0,0
989,98340.png,0,0
990,65148.png,1,0
991,38754.png,1,0
992,79134.png,0,0
993,59028.png,0,1
994,76854.png,0,0
995,82950.png,0,0
996,80473.png,1,0
997,91637.png,0,0
998,07612.png,1,0
999,08653.png,0,0
1000,79452.png,0,0
1001,42589.png,1,0
1002,92837.png,1,0
1003,63795.png,0,0
1004,14602.png,1,0
1005,39241.png,0,0
1006,82675.png,0,0
1007,84321.png,1,0
1008,42986.png,0,0
1009,03267.png,0,0
1010,24815.png,0,1
1011,47903.png,1,1
1012,78936.png,1,0
1013,40572.png,0,0
1014,41896.png,0,0
1015,27410.png,0,0
1016,08294.png,1,0
1017,81075.png,1,1
1018,73049.png,1,0
1019,14765.png,0,0
1020,92683.png,1,0
1021,47692.png,0,1
1022,40731.png,0,0
1023,28716.png,1,1
1024,57869.png,0,0
1025,83046.png,0,0
1026,67951.png,0,0
1027,75923.png,1,0
1028,04127.png,1,1
1029,61058.png,0,0
1030,26738.png,1,0
1031,60289.png,1,0
1032,87160.png,0,0
1033,26910.png,1,0
1034,16598.png,1,0
1035,57890.png,1,0
1036,53426.png,1,0
1037,40856.png,1,0
1038,43269.png,1,0
1039,70381.png,1,0
1040,91063.png,0,0
1041,04135.png,0,0
1042,16870.png,0,0
1043,54830.png,0,0
1044,57389.png,1,0
1045,18674.png,0,0
1046,34291.png,1,0
1047,05461.png,1,0
1048,02846.png,0,0
1049,92836.png,0,0
1050,32410.png,0,0
1051,81690.png,1,0
1052,46815.png,0,1
1053,54820.png,1,0
1054,85042.png,1,0
1055,75821.png,1,1
1056,68394.png,0,0
1057,64907.png,0,0
1058,30849.png,1,0
1059,98473.png,0,0
1060,59671.png,1,0
1061,47831.png,0,0
1062,79031.png,1,0
1063,74813.png,1,0
1064,75280.png,1,0
1065,84057.png,1,0
1066,57908.png,0,0
1067,34602.png,1,0
1068,81035.png,1,1
1069,03765.png,1,0
1070,86179.png,0,0
1071,59107.png,0,0
1072,51628.png,0,0
1073,71063.png,1,0
1074,36805.png,1,1
1075,79825.png,0,0
1076,04563.png,0,0
1077,01459.png,0,0
1078,38401.png,0,0
1079,69324.png,0,0
1080,90845.png,1,0
1081,72419.png,1,0
1082,64297.png,1,1
1083,43506.png,1,0
1084,93874.png,0,0
1085,84316.png,1,0
1086,05734.png,0,0
1087,82760.png,0,0
1088,64730.png,1,0
1089,97125.png,1,1
1090,39206.png,0,0
1091,67593.png,1,0
1092,01325.png,0,0
1093,89136.png,0,0
1094,03924.png,1,0
1095,52037.png,0,0
1096,80321.png,1,1
1097,50962.png,0,0
1098,01359.png,0,0
1099,27506.png,0,0
1100,70543.png,1,0
1101,48315.png,1,0
1102,10649.png,1,1
1103,62509.png,1,0
1104,64571.png,0,0
1105,36521.png,1,0
1106,40268.png,0,0
1107,40723.png,0,1
1108,87924.png,1,0
1109,12589.png,0,0
1110,06524.png,0,0
1111,52719.png,1,0
1112,45139.png,1,0
1113,53814.png,0,0
1114,32960.png,0,0
1115,85310.png,1,0
1116,90657.png,1,0
1117,78321.png,1,0
1118,28495.png,1,0
1119,05791.png,1,0
1120,16452.png,0,0
1121,07521.png,1,0
1122,97514.png,1,0
1123,74508.png,1,0
1124,74259.png,1,0
1125,39725.png,1,0
1126,03624.png,0,0
1127,40218.png,0,0
1128,51928.png,1,0
1129,27548.png,1,0
1130,57649.png,0,0
1131,89512.png,0,0
1132,87692.png,0,0
1133,84325.png,0,0
1134,42083.png,1,0
1135,26531.png,1,0
1136,87390.png,1,0
1137,10475.png,1,0
1138,91736.png,1,0
1139,48379.png,0,0
1140,19740.png,1,1
1141,21659.png,0,0
1142,19846.png,0,0
1143,16758.png,1,0
1144,45176.png,0,0
1145,87501.png,1,0
1146,82547.png,1,0
1147,40728.png,1,0
1148,18465.png,0,0
1149,89140.png,1,0
1150,37845.png,1,0
1151,31875.png,1,0
1152,51924.png,0,0
1153,87532.png,1,0
1154,95380.png,1,0
1155,79243.png,1,0
1156,87905.png,1,0
1157,04582.png,0,0
1158,31920.png,0,0
1159,45871.png,0,0
1160,13720.png,1,0
1161,13297.png,0,0
1162,78956.png,0,0
1163,89754.png,0,0
1164,61497.png,1,1
1165,59460.png,0,0
1166,17938.png,1,1
1167,40316.png,0,1
1168,92847.png,1,0
1169,63915.png,0,0
1170,38159.png,0,0
1171,02514.png,0,0
1172,50783.png,1,1
1173,78152.png,1,0
1174,56294.png,1,1
1175,59021.png,1,0
1176,76145.png,0,1
1177,79105.png,0,0
1178,26358.png,0,0
1179,05389.png,0,0
1180,69304.png,1,0
1181,87430.png,0,1
1182,13069.png,0,0
1183,05379.png,0,0
1184,71253.png,0,0
1185,27580.png,0,0
1186,41602.png,1,1
1187,80246.png,1,1
1188,92658.png,1,0
1189,10482.png,0,0
1190,60794.png,1,0
1191,36810.png,0,0
1192,16473.png,1,0
1193,94086.png,0,0
1194,30576.png,1,0
1195,37145.png,0,0
1196,45976.png,0,0
1197,20145.png,1,0
1198,27519.png,0,0
1199,93174.png,0,0
1200,69823.png,1,0
1201,68190.png,0,0
1202,86021.png,0,0
1203,61752.png,1,0
1204,63490.png,1,0
1205,91036.png,0,0
1206,54823.png,1,0
1207,72830.png,0,0
1208,10287.png,1,0
1209,13074.png,0,0
1210,80653.png,0,0
1211,27408.png,1,0
1212,13726.png,0,0
1213,61792.png,0,0
1214,32560.png,1,0
1215,16320.png,0,0
1216,84901.png,0,0
1217,97245.png,0,0
1218,34170.png,1,0
1219,58730.png,0,0
1220,80759.png,1,0
1221,93857.png,0,0
1222,72430.png,1,1
1223,71028.png,0,0
1224,24836.png,0,0
1225,83924.png,1,0
1226,32067.png,0,0
1227,71649.png,0,0
1228,23014.png,0,0
1229,92136.png,0,0
1230,76180.png,0,0
1231,19238.png,1,0
1232,36418.png,1,0
1233,89571.png,1,0
1234,20918.png,1,1
1235,71832.png,0,0
1236,42507.png,1,1
1237,21849.png,1,0
1238,08674.png,0,0
1239,62418.png,1,0
1240,74281.png,0,0
1241,48916.png,0,0
1242,43571.png,0,0
1243,97486.png,0,0
1244,68172.png,1,0
1245,17869.png,1,0
1246,62307.png,0,0
1247,69123.png,1,1
